Key	Category	en	hu	it	lv	fi	pt	de	ru	pl	zh	fr	es	cs	es-ar	sv	hr	nl	sl	ar	ms	id	pt-br	tr	hi	el	zh-cn	fa-ir	sr	ro	vi	Your language here
	1	Detailed description of the service: automatically completing registrations, domain names, features.	A rendszer részletes leírása: regisztrációk automatikus aktiválása, domain nevek, szolgáltatások, jellemzők.	Descrizione dettagliata del servizio: iscrizioni il completamento automatico, i nomi di dominio, caratteristiche.		Tarkempia tietoja palvelusta: automaattinen rekisteröitymisten vahvistus, domainnimet, palvelut.	Descrição detalhada do serviço: completa automaticamente entradas de registros, nomes de domínio, características.	Genaue Beschreibung des Dienstes: automatisches Ausfüllen von Registrierungsanfragen, Domainnamen, Merkmalen.	Подробное описание службы: автоматическое выполнение регистраций, доменные имена, возможности.	Szczegółowy opis usługi: automatyczna rejestracja, nazwy domen, cechy.		Description détaillée du service: complétation automatique des enregistrements, noms de domaine, fonctions.	Descripción detallada del servicio	Detailní popis služby: automatické dokončení registrace, doménová jména, možnosti.	Descripción detallada del servicio: completa automáticamente registraciones, nombres de dominio, características						Penerangan terperinci perkhidmatan kami : Melengkapkan pendaftaran secara automatik, nama-nama domain, ciri-ciri.	Penjelasan detail tentang layanan ini: secara otomatis menyelesaikan registrasi, nama domain, fitur.	Descrição detalhada do serviço: conclusão automatica de registros, nomes de domínio, recursos.			Λεπτομερής περιγραφή της υπηρεσίας: αυτόματη συμπλήρωση καταχωρίσεων, ονόματα τομέα, χαρακτηριστικά.					Mô tả chi tiết về dịch vụ: tự động hoàn thành đăng ký, tên miền, tính năng.	
links	2	Automatically clicks on registration links!	Automatikus kattintás a linkekre!	Clicca automaticamente i link di registrazione!	Automātiski apstiprina reģistrācijas saites!			Wir klicken für Dich!	Автоматически кликает по ссылкам регистрации!	Automatycznie klika linki rejestracyjne!		Clique automatiquement sur les liens d'enregistrement		Automaticky klikat na registrační odkazy!	¡Automáticamente clickea en enlaces de registro!						Mengklik link pendaftaran secara automatik	Melakukan klik otomatis pada link registrasi!	Clique automático em links de registro			Κάνει αυτόματα κλικ στους συνδέσμους εγγραφής!					Tự động nhấp vào liên kết đăng ký!	
	8	If the email contains activation/registration links to other sites, they will be automatically visited in the background without any user action. This is most useful for registrations or subscriptions on websites where you must click on an activation link in the message to complete your registration. This will be done without any user intervention, even without you reading the email!	Ha a levél tartalmaz aktiváló, regisztrációs hivatkozásokat, automatikusan meg lesznek látogatva a háttérben, mindenféle értesítés nélkül. Ez rendkívül hasznos az olyan regisztrációnál, ahol a kiküldött levélben rá kell kattintani egy linkre a regisztrációs folyamat befejezéséhez. Ez ugyanis automatikusan meg fog történni, anélkül hogy megnéztük volna ezt a levelet!	Se il messaggio contiene link di attivazione/registrazione per altri siti, questi verranno automaticamente visitati senza alcun intervento dell'utente. Ciò è particolarmente utile per le registrazioni o sottoscrizioni su siti per cui devi cliccare un link di attivazione nel messaggio per completare la registrazione. Tutto questo avviene senza intervento dell'utente, anche senza leggere il messaggio!	Ja ziņojums satur aktivizēšanas / reģistrēšanas saites uz citām saitēm, tās tiks automātiski nospiestas bez lietotāja iesaistīšanas. Visnoderīgāk to izmantot, reģistrējoties vai pierakstoties tīmekļa vietnēs, kur, lai pabeigtu reģistrēšanās procesu, nepieciešams nospiest aktivizēšanas saiti. Tas tiks izdarīts netraucējot lietotāju un pat neliekot izlasīt šo ziņojumu.			Wir klicken auf alle Links, die in der E-Mail enthalten sind und für eine Aktivierung oder Registrierung nötig sein sollten. Dies ist am nützlichsten für Registrierungen oder Abos auf Seiten auf denen ein Klick auf einen Bestätigungslink erfolgen muss um die Registrierung abzuschließen. Du musst dazu nichts tun, noch nicht einmal die Nachricht lesen!	Если сообщение содержит ссылки активации/регистрации на других сайтах, то они будут автоматически посещены в фоновом режиме без какого-либо действия со стороны пользователя. Это очень полезно при регистрациях или подписках на сайтах, где вы должны кликнуть на ссылку активации в сообщении для выполнения вашей регистрации. Это будет сделано без какого-либо вмешательства со стороны пользователя, даже не читая этого сообщения!	Jeśli wiadomość e-mail zawiera linki aktywacyjne / rejestracyjne do innych witryn, będą one automatycznie odwiedzane w tle bez żadnych działań użytkownika. Jest to najbardziej przydatne w przypadku rejestracji lub subskrypcji na stronach internetowych, w których należy kliknąć link aktywacyjny w wiadomości, aby ukończyć rejestrację. Będzie to robione bez interwencji użytkownika, nawet bez czytania e-maila!					Si el mensaje contiene enlaces de activación/registro/verificación a otros sitios, serán visitados automáticamente en segundo plano sin intervención del usuario. Esto es muy útil para el registro o la suscripción en sitios web donde debés clikear en un enlace de activación en el mensaje para completar el proceso de registración. ¡Esto se hace sin ninguna intervención del usuario, incluso si no leés el mensaje!						Jika e-mel yang mengandungi link pengaktifan/pendaftaran untuk laman web yang lain, ianya akan dikunjungi secara automatik di latar belakang tanpa tindakan dari mana-mana pengguna. Ini adalah yang paling berguna untuk pendaftaran atau langganan pada laman web di mana anda mesti klik pada link pengaktifan dalam mesej untuk melengkapkan pendaftaran anda. Ini akan dilakukan tanpa campur tangan dari mana-mana pengguna, malah anda tidak perlu membaca e-mel!	Jika email berisi link regsitrasi/aktivasi ke sebuah website, maka link tersebut akan otomatis di-klik/dikunjungi dalam latar belakang tanpa perlu perintah. Ini sangat berguna pada registrasi atau langganan pada website yang mengharuskan anda meng-klik link aktivasi dalam pesan yang mereka kirim untuk menyelesaikan registrasi anda. Ini akan dilakukan secara otomatis tanpa perintah tambahan, bahkan tanpa perlu membaca emailnya.	Se o e-mail contiver links de ativação/registro para outros sites, eles serão automaticamente visitado em segundo plano, sem qualquer ação do usuário . Isso é mais útil para registros ou assinaturas em sites onde você deve clicar em um link de ativação na mensagem para completar o seu registo. Isso será feito sem qualquer intervenção do usuário, mesmo sem que você leia o e-mail!			Αν το μήνυμα ηλεκτρονικού ταχυδρομείου περιέχει συνδέσεις ενεργοποίησης / εγγραφής σε άλλους ιστότοπους, θα πραγματοποιηθεί αυτόματα επίσκεψη στο παρασκήνιο χωρίς καμία ενέργεια χρήστη. Αυτό είναι πολύ χρήσιμο για εγγραφές ή συνδρομές σε ιστότοπους όπου πρέπει να κάνετε κλικ σε ένα σύνδεσμο ενεργοποίησης στο μήνυμα για να ολοκληρώσετε την εγγραφή σας. Αυτό θα γίνει χωρίς παρέμβαση του χρήστη, ακόμη και χωρίς να διαβάζετε το μήνυμα ηλεκτρονικού ταχυδρομείου!					Nếu email chứa các liên kết kích hoạt/đăng ký đến các trang web khác, chúng sẽ được tự động truy cập trong nền mà không cần bất kỳ hành động nào của người dùng.  Điều này hữu ích nhất cho các đăng ký hoặc đăng ký trên các trang web mà bạn phải nhấp vào liên kết kích hoạt trong tin nhắn để hoàn tất đăng ký của mình.  Điều này sẽ được thực hiện mà không có bất kỳ sự can thiệp nào của người dùng, ngay cả khi bạn không đọc email!	
																																
	2	Alternate domain names!	Több domain név használható!	Nomi di dominio alternativi!	Alternatīvi domēnu vārdi!			Weitere Domain-Namen!	Смена доменных имён!	Alternatywne nazwy domen!		Alterne les noms de domaine			¡Nombres de dominio alternativos!						Nama domain alternatif!	Nama domain alternatif!	Nomes de domínio alternativos!			Εναλλακτικά ονόματα τομέα!					Tên miền thay thế!	
	8	Other domain names are available too, in addition to @mailnesia.com, details on [http://mailnesia.com/domains.html](/domains.html) .  Of course the domain name has no effect on the delivery, only the mailbox name.  So all mail sent to bob@mailnesia.com and bob@vipmailonly.info can be read in bob's inbox. Expect more names in the future.	Nem csak @mailnesia.com -ra végződhetnek az emailek, hanem más domain nevek is működnek, az email pedig természetesen ugyanoda fog érkezni a domaintől függetlenül. További információ: [http://mailnesia.com/domains.html](/domains.html).	Sono disponibili anche altri nomi di dominio, oltre a @mailnesia.com. [http://mailnesia.com/domains.html](/domains.html) . Ovviamente il nome di dominio non ha alcun effetto sulla consegna, solo sul nome della casella postale. Così tutta la posta inviata a bob@mailnesia.combob@vipmailonly.info potrà essere letta nella posta in arrivo di bob. In futuro forniremo altri nomi.	Papildus @mailnesia.com ir izmantojami arī citi domēnu nosaukumi. [http://mailnesia.com/domains.html](/domains.html). Protams, domēna nosaukumam nav iespaida uz vēstules piegādi, nozīme ir tikai pastkastītes nosaukumam. Līdz ar to visas vēstules, kuras nosūtītas uz bob@mailnesia.com un bob@vipmailonly.info var tikt izlasītas kopējā Boba iesūtnē. Nākotnē tiks piedāvāti vēl vairāk domēnu nosaukumu.			Wir haben auch noch andere Domain Namen, zusätzlich zu @mailnesia.com . [http://mailnesia.com/domains.html](/domains.html) . Natürlich hat der Domainname keinen Einfluss auf die Zustellung der Mails, dies hat nur der Mailboxname. Also wird jede Mail an bob@mailnesia.com und jede Mail an bob@vipmailonly.info in das Postfach von Bob zugestellt. Und wir arbeiten an weiteren Domainnamen!	Дополнительно к @mailnesia.com также есть другие доменные имена. [http://mailnesia.com/domains.html](/domains.html). Конечно, доменное имя не влияет на доставку, это лишь имя почтового ящика. Так, вся почта, отправленная на bob@mailnesia.com и bob@vipmailonly.info может быть прочитана во входящей почте на имя bob. В будущем имён ожидается больше.	Inne nazwy domen są również dostępne, oprócz @ mailnesia.com, szczegóły na [http://mailnesia.com/domains.html](/domains.html). Oczywiście nazwa domeny nie ma wpływu na dostawę, a jedynie nazwę skrzynki pocztowej. Wszystkie wiadomości wysłane na adres bob@mailnesia.com i bob@vipmailonly.info można odczytać w skrzynce odbiorczej. Oczekuj więcej nazw w przyszłości.					Otros nombres de dominio también están disponibles además de @mailnesia.com. [http://mailnesia.com/domains.html](/domains.html). Por supuesto, el nombre de dominio no tiene efecto en la entrega o distribución de los mensajes, solamente el nombre de la cuenta. Así que todo el correo enviado a roberto@mailnesia.com y roberto@vipmailonly.info lo podés leer en la bandeja de entrada de Roberto. Esperá más nombres en el futuro.						Terdapat juga nama domain yang berbeza selain @mailnesia.com . [http://mailnesia.com/domains.html](/domains.html). Nama domain ini tidak memberi kesan ke atas penghantaran, cuma nama emel yang berbeza. Jadi, semua emel yang dihantar kepada bob@mailnesia.com dan bob@vipmailonly.info boleh dibaca dalam inbox bob. Kami menjangkakan lebih banyak nama domain pada masa hadapan.	Nama domain lain juga tersedia selain @mailnesia.com, info selengkapnya di [http://mailnesia.com/domains.html](/domains.html). Tentu saja nama domain ini tidak bisa digunakan untuk mengirim, hanya menerima. Sehingga semua email yang terkirim ke bob@mailnesia.com dan bob@vipmailonly.info akan bisa dibaca di inbox Bob. Nantikan nama lainnya di lain waktu.	Outros nomes de domínio também estão disponíveis, além de @mailnesia.com, detalhes em [http://mailnesia.com/domains.html](/domains.html). É claro que o nome de domínio não tem efeito sobre o recebimento, apenas o nome do e-mail. Assim, todos os e-mails enviados para bob@mailnesia.com e bob@vipmailonly.info podem ser lidos na caixa de entrada real. Espere mais nomes no futuro.			Άλλα ονόματα τομέα είναι διαθέσιμα επίσης, εκτός από το @mailnesia.com, λεπτομέρειες σχετικά με το [http://mailnesia.com/domains.html](/domains.html). Tο όνομα τομέα δεν έχει καμία επίδραση στην παράδοση, μόνο το όνομα του γραμματοκιβωτίου. Έτσι, όλα τα μηνύματα που αποστέλλονται στο bob@mailnesia.com και bob@vipmailonly.info μπορούν να διαβαστούν στα inbox του bob. Αναμείνετε περισσότερα ονόματα στο μέλλον.					Các tên miền khác cũng có sẵn, ngoài @ mailnesia.com, thông tin chi tiết trên [http://mailnesia.com/domains.html](/domains.html).  Tất nhiên tên miền không có ảnh hưởng gì đến việc chuyển phát, chỉ có tên hộp thư.  Vì vậy, tất cả thư được gửi đến bob@mailnesia.com và bob@vipmailonly.info có thể được đọc trong hộp thư đến của bob.  Mong đợi nhiều cái tên hơn trong tương lai.	
																					 											
	8	You can use your own domain name too!  Just point your MX record to mailnesia.com, setting MX PREF and TTL to something like 10 and 1800.	Továbbá ha van saját domained, azt is használhatod! Be kell állítani MX recordként a mailnesia.com -ot, az MX PREF és TTL meg legyen mondjuk 10/1800.	Puoi anche usare il tuo nome di dominio! Basta puntare il record MX a mailnesia.com, o il record MXE a 173.213.111.178, configurando MX PREF e TTL con valori tipo 10 e 1800.	Jūs varat izmantot arī savu domēna vārdu! Vienkārši nosūtiet MX protokolu uz mailnesia.com vai MXE protokolu uz 173.213.111.178, iestatījumus MX PREF un TTL uz 10 un 1800.			Du kannst Deinen eigenen Domain Namen nutzen! Weise als MX record mailnesia.com oder als MXE record 173.213.111.178 zu und setze MX PREF und TLL auf einen Wert um und bei 10 und 1800.	Вы также можете использовать своё собственное доменное имя! Просто направить МХ регистрацию на mailnesia.com или MXE регистрацию на 173.213.111.178, выставляя MX PREF и TTL на значение 10 и 1800.	Możesz również użyć swojej własnej nazwy domeny! Po prostu wskaż swój rekord MX na stronie mailnesia.com, ustawiając MX PREF i TTL na wartość 10 i 1800.					¡Podés utilizar también tu propio nombre de dominio! Simplemente apuntá el registro MX para mailnesia.com, y establecé los valores de MX PREF y TTL a algo como 10 y 1800.						Anda juga boleh menggunakan nama domain anda sendiri! Hanya tukarkan MX record kepada mailnesia.com, tetapkan MX PREF dan TTL kepada 10 dan 1800.	Anda juga bisa menggunakan nama domain sendiri! Arahkan saja MX record domain anda ke mailnesia.com, pengaturan PREF dan TTL pada kisaran 10 dan 1800.	Você também pode usar seu próprio nome de domínio! Basta apontar o registro MX para mailnesia.com, estabelecendo MX PREF e TTL para algo como 10 e 1800.			Μπορείτε επίσης να χρησιμοποιήσετε το δικό σας domain name! Απλά τοποθετήστε την εγγραφή MX στη διεύθυνση mailnesia.com, ρυθμίζοντας τα MX PREF και TTL σε κάτι σαν 10 και 1800.					Bạn cũng có thể sử dụng tên miền của riêng mình!  Chỉ cần trỏ bản ghi MX của bạn tới mailnesia.com, đặt MX PREF và TTL thành 10 và 1800.	
																																
	8	Or if you'd rather not buy a domain, there are also free services like <http://freedns.afraid.org> .	Valamint használhatók ingyenes DNS szolgáltatók is, pl <http://freedns.afraid.org>	Oppure se preferisci non spendere $2.99 per un dominio .info per un anno ci sono anche servizi DNS gratuiti come <http://freedns.afraid.org>.	Vai, ja jūs negribat tērēt $2.99 gadā par info domēnu, ir pieejami arī bezmaksas DNS pakalpojumi, piemēram, <http://freedns.afraid.org>.			Wer die USD2,99 pro Jahr für eine info Domain nicht ausgeben möchte kann auch kostenlose DNS Dienste wie <http://freedns.afraid.org> nutzen.	Или, если вам не особо хочется тратить $2.99 за информационный домен в год, то есть также бесплатные DNS службы, как например <http://freedns.afraid.org>.	Lub jeśli wolisz nie kupować domeny, są również darmowe usługi, takie jak <http://freedns.afraid.org>.					O si preferís no comprar un nombre de dominio propio, también tenés servicios gratuitos como <http://freedns.afraid.org>.						Atau jika anda tidak mahu membeli domain, terdapat juga perkhidmatan percuma seperti <http://freedns.afraid.org>.	Atau jika anda tidak ingin menggunakan domain sendiri, bisa juga menggunakan yang gratis dari layanan seperti <http://freedns.afraid.org> .	Ou, se você preferir não comprar um domínio, existem também serviços gratuitos como o <http://freedns.afraid.org>.			Ή αν προτιμάτε να μην αγοράσετε έναν τομέα, υπάρχουν επίσης δωρεάν υπηρεσίες όπως το <http://freedns.afraid.org>.					Hoặc nếu bạn không muốn mua miền, cũng có các dịch vụ miễn phí như <http://freedns.afraid.org>.	
