Key	Category	en	hu	it	lv	fi	pt	de	ru	pl	zh	fr	es	cs	es-ar	sv	hr	nl	sl	ar	ms	id	pt-br	Your language here
motto	1	Anonymous E-Mail In Seconds	Azonnali Anonim E-Mail	E-Mail Anonima In Pochi Secondi		Nimetön Sähköposti Sekunneissa		Anonymous E-Mail In Sekunden	Анонимная Почта За Секунды	Anonimowe Wysyłanie Maila W Sekundę	便捷的匿名信箱	E-Mail anonyme en quelques secondes	Correo electrónico anónimo en segundos	Anonymní email za vteřinu	Correo electrónico anónimo en segundos	Anonym E-post på en sekund	Anonimni email za samo par sekundi	Anonieme email in seconden	Anonimen email naslov za nekaj sekund	احصل على بريد مؤقت خلال ثوان	Emel anonymous dalam sesaat	Email anonim langsung jadi	E-mail anônimo em segundos	
																								
language_selection	1	in English	magyarul	Italiano	latviešu valoda	suomi	português	auf Deutsch	на русском языке	po polsku	中文	En Français	En Español	V češtině	En Español de Argentina	på svenska	na hrvatskom	in het Nederlands	v slovenščini	بالعربي	Dalam bahasa melayu	Bahasa Indonesia	Em Português do Brasil	
date	1	Date	Dátum	Data	Datums	Päiväys	Data	Datum	Дата	Data	日期	Date	Fecha	Datum	Fecha	Datum	Datum	Datum	Datum	التاريخ	Tarikh	Tanggal	Data	
from	1	From	Feladó	Mittente	No	Lähettäjä	De	Von	От	Od	寄件者	De	De	Od	De	Från	Poslao	Van	Poslal	من	Dari	Dari	De	
to	1	To	Címzett	Destinatario	Uz	Vastaanottaja	Para	An	К	Do	收件者	A	Para	Pro	Para	Till	Prima	Aan	Za	إلى	Kepada	Kepada	Para	
subject	1	Subject	Téma	Oggetto	Temats	Aihe	Assunto	Betreff	Тема	Temat	主旨	Sujet	Asunto	Předmět	Tema	Ämne	Naslov	Onderwerp	Naslov	الموضوع	Subjek	Subyek	Assunto	
check	1	CHECK YOUR INBOX:	POSTAFIÓK MEGNYITÁSA:	Controlla la posta!	PĀRBAUDIET SAVU IESŪTNI:	TARKISTA VIESTIT:	VERIFIQUE CAIXA DE ENTRADA:	PRÜFE DEINE INBOX	ПРОВЕРЬ ВХОДЯЩЕЕ:	SPRAWDŹ SWOJĄ SKRZYNKĘ	檢查收件匣	Vérifier votre boîte de reception:	Revisa tu bandeja de entrada	Zkontrolujte zprávy:	Revisá la bandeja de entrada	Öppna din inbox	Provjeri pristiglu poštu:	Bekijk je inbox	Preveri pošto	تفحص	Semak inbox anda	Periksa inbox	VERIFICAR CAIXA DE ENTRADA:	
subscribe_to_rss	1	Subscribe to the RSS feed for this mailbox	Feliratkozás ennek a postafióknak az RSS csatornájára	Iscriviti al servizio RSS per questa casella di posta	Pierakstieties RSS, lai saņemtu jaunumus no šīs pastkastītes	Liity tämän osoitteen RSS-syötteelle	Subscrever o feed RSS para esta caixa de correio	RSS Feed für diese Mailbox abonnieren	Подписать этот почтовый ящик на рассылку RSS 	Subskrybuj kanał RSS dla tej skrzynki	訂閱RSS	Abonnement au flux RSS de cette boîte mail	Suscribirse a las fuentes RSS de este buzón	Přihlašte se k odběru RSS feedu pro tento mailbox	Suscribite a las fuentes RSS de esta cuenta	Prenumerera på RSS-flödet för denna mailbox	Pretplati se na RSS svog sandučića		Naroči se na RSS	اشترك بخدمة RSS	Langgan RSS peti mel ini	Lihat RSS mailbox ini	Assine o feed RSS para este e-mail	
open_email	1	Open email	Üzenet megnyitása	Apri la posta	Atvērt e-pastu	Avaa sähköposti	E-mail aberto	E-Mail öffnen	Открыть почту	Otwórz pocztę	打開郵件	Ouvrir mail	Abrir correo	Otevřít email	Abrí el mensaje	Öppna e-post	Otvori email	Open bericht	Odpri email	فتح البريد	Buka emel	Buka email	Abrir e-mail	
delete	1	Delete this message	Üzenet törlése	Elimina questo messaggio		Poista viesti	Apagar esta mensagem	Nachricht löschen	Удалите это сообщение	Usuń tę wiadomość	刪除這封郵件	Supprimer ce message	Borrar este mensaje	Smazat tuto zprávu	Borrá el mensaje	Radera detta meddelande	Obriši ovu poruku	Verwijder dit bericht	Izbriši to sporočilo	حذف الرسالة	Buang emel ini	Hapus pesan ini	Apagar esta mensagem	
oldest	1	oldest	legrégebbi	più vecchie	vecāka	vanhin	mais antiga	älteste	самое старое	starsze	最舊	Plus ancien	Más viejo	starší	Más antiguo	Äldst	najstarije	Oudste	najstarejše	الأقدم	Lama	Terlama	mais velho	
newest	1	newest	legújabb	più nuove	jaunāka	uusin	mais recente	neueste	самое последнее	nowsze	最新	Plus récent	Más nuevo	novější	Más nuevo	Nyast	najnovije	Nieuwste	najnovejše	الأحدث	Baru	Terbaru	mais novo	
previous	1	previous	előző	precedente	iepriekšējo	edellinen	anterior	früher	предыдущая	poprzednie	上一封	Précédent	Anterior	předešlé	Anterior	Föregående	prethodno	Vorige	prejšen	السابق	Sebelum	Sebelumnya	anterior	
next	1	next	következő	seguente	nākamā	seuraava	próximo	nächste	следующая	następne	下一封	Suivant	Siguiente	další	Siguiente	Nästa	sljedeće	Volgende	naslednji	التالي	Selepas	Selanjutnya	próximo	
random	1	Random mailbox	Postafiók találomra	Una casella a caso		Nejaušu vārdu ģenerators	Caixa de entrada aleatória		Генератор случайного имени	Generator nazw losowych	隨機產生名字	Générateur de nom aléatoire	Buzón aleatorio	Náhodná adresa	Cuenta de correo aleatoria	Slumpmässig mailbox	Nasumični poštanski sandučić	Willekeurige mailbox	naključen nabiralnik	بريد إلكتروني عشوائي	Rawak	Acak	E-mail aleatório	
page_does_not_exist	1	The requested page (_x) cannot be found on this server.	A kért oldal (_x) nem található ezen a szerveren.	La pagina richiesta (_x) non è stata trovata su questo server.	Pieprasītā lapa (_x) uz šī servera nevar tikt atrasta.	Pyydettyä sivua (_x) ei löytynyt.	A página solicitada (_x) não pode ser encontrado neste servidor.	Die für (_x) angefragte Seite kann auf dem Server nicht gefunden werden.	Запрошенную страницу (_x) на данном сервере невозможно найти.	Nie znaleziono strony (_x) na tym serwerze	找不到所要的頁面 (_x)	La page demandée (_x) n'a pas été trouvée sur le serveur	La página solicitada (_x) no pudo ser encontrada en este servidor.	Pozadovaná schránka (_x) nebyla nalezena na tomto serveru.	La página solicitada (_x) no se encuentra en este servidor.	Sidan (_x) kan inte hittas på denna servern.	Traženu stranicu (_x) nije moguće pronaći na poslužitelju	De opgevraagde pagina (_x) kan niet worden gevonden op deze server.	Izbrana stran (_x) na strežniku ne obstaja	الصفحة المطلوبة (_x) غير متوفرة على هذا السرفر.	Laman tidak dijumpai	Halaman (_x) tidak ditemukan dalam server ini.	A página solicitada (_x) não pode ser encontrada neste servidor.	
mail_for_emailaddress	1	Mail for _x:	Üzenetek _x számára:	Posta per _x:	Pasts _x:	Osoitteen _x viestit	E-mail para US _x:	Mail an _x:	Почта для _x	Poczta dla _x:	致 _x 的郵件：	Message pour _x:	Correo para _x:	Zpráva pro _x:	Correo para _x:	Mail till _x:	Poruku prima _x:	E-mail voor _x:	Sporočilo za _x:	رسالة إلى _x:	Emel untuk _x:	Email untuk _x:	E-mails de _x:	
nomail	1	No e-mail message for _x	Nincs üzenet _x számára	Nessun messaggio di posta per _x	Nav e-pasta ziņojumu _x	Ei viestejä osoitteelle _x	Nenhuma mensagem de e-mail para US _x	Keine E-Mail Nachricht für _x	Почтового сообщения для _x нет.	Brak wiadomości dla _x	沒有給 _x 的郵件	Pas de e-mail pour _x	Sin mensajes de correo para _x	Žádné zprávy pro _x	Sin mensajes de correo para _x	Inget e-postmeddelande till _x.	Nema poruke za _x	Geen berichten voor _x	Ni sporočila za _x	لا يوجد رسائل جديدة إلى _x	Tiada email baru untuk _x	Tidak ada email untuk _x:	Nenhuma mensagem de e-mail para _x	
page	1	page _x	_x. oldal	pagina  _x	lapa _x	sivu _x	página _x	Seite _x	страница _x	strona _x	第 _x 頁	Page _x	página _x	stránka _x	página _x	sida _x	stranica _x	pagina _x	stran _x	صفحة _x	Laman _x	halaman _x	página _x	
prefer_html	2	Display email parts: § plain text § HTML §both	Üzenet részeinek megjelenítése: §egyszerű szöveges§HTML§mindkettő	Mostra il contenuto della posta: §testo§HTML§entrambe	E-pasta daļu attēlojums: § vienkāršs teksts§ HTML§ abi	Näytä sähköpostin osat: § Pelkkä teksti §HTML§molemmat	Mostrar partes de e-mail: § texto simples§HTML§ambos	E-mail Teile anzeigen: §Text§HTML§Beides	Показать сегменты почты: § простой текст § HTML § оба	Wyświetl wiadomość jako: § tekst § HTML § jedno i drugie	以 § 純文字 § HTML § 純文字+HTML 顯示信件	Type d'affichage des e-mails: § plain text § HTML §par défaut	Mostrar partes del correo: § texto plano § HTML § ambos	Zobrazit části zprávy: § čistý text § HTML §vše	Mostrar partes del mensaje: § texto plano § HTML § ambos	Visa e-post i: § vanlig text § HTML § båda	Prikaz dijelova poruke: § samo tekst § HTML § oboje	Toon e-mail onderdelen: § platte tekst § HTML §beide	 Prikaz del sporočila § samo tekst § HTML §oboje	عرض البريد: §  نص § HTML §الكل	Paparan emel : § teks biasa § HTML § kedua-duanya	Tampilkan bagian email: § teks biasa § HTML §keduanya	Mostrar partes do e-mail: § texto simples HTML §both	
mailbox_is_an_alias	3	You can't view the contents of this mailbox because this is an alias of another mailbox. What is this alias stuff? Click here to find out.	Ez egy másik postafiók alias-a, ezért tartalma nem jeleníthető meg!  További információért kattints ide.	Non puoi vedere il contenuto di questa casella di posta perchè è l'alias di un'altra casella. Che roba è un alias? Clicca quì per scoprirlo.	Jūs nevarat aplūkot šī e-pasta saturu, jo izmantojat svešas pastkastītes aizstājvārdu. Kas ir aizstājvārds? Piespiediet šeit, lai noskaidrotu.	Et voi näyttää tämän sähköpostin sisältöä koska tämä on toisen laatikon alias. Mitä alias oikein tarkoittaa? Napsauta tästä saadaksesi lisätiedot.	Não pode ver o conteúdo desta caixa de correio porque este é um apelido para outra caixa de correio. O que é essa coisa de apelido? Clique aqui para descobrir.	Du kannst Dir die Inhalte dieser Mailbox nicht anschauen da es sich um den Alias einer anderen Mailbox handelt. Worum geht's bei dem Alias Zeug? Klicke hier um es herauszufinden!	Вы не можете просмотреть содержимое этого ящика, потому что это псевдоним от другого ящика. Что это за псевдоним? Чтобы выяснить жми здесь. 	Nie możesz przeglądać zawartości tej skrzynki ponieważ jest to nazwa innej skrzynki. O co chodzi z nazwami? Klinkij tu żeby się dowiedzieć.	這是其他信箱的別名，因此您不能查看此信箱。甚麼是別名？按此便可以知道。	Vous ne pouvez pas voir le contenu de cette boîte de réception car c'est un alias d'une autre boîte e-mail. A quelle boîte email cette alias appartient? Cliquez ici pour le découvrir.	No puede ver el contenido de este buzón porque este es un alias de otro buzón. ¿Qué es esta cosa del alias? Clic aquí para encontrarlo	Obsah této schránky nelze zobrazit, protože se jedná o alias na jiný mailbox. Co znamemá tato vlastnost ? Klikněte zde pro vysvětlení.	No podés ver el contenido de esta cuenta porque este es un alias de otra cuenta. ¿Qué es esta cosa del alias? Clickea acá para averiguarlo.	Du kan inte se innehållet i denna mailbox eftersom det här aliaset tillhör någon annans mailbox. Vad är alias för något? Klicka här för att veta mer.	Ne možeš pregledavati sadržaj ovog sandučića jer je on postavljen kao alias za  neki drugi sandučić. Što je to alias? Klikni ovdje kako bi saznao.	Je kunt de inhoud van deze mailbox niet bekijken omdat het een alias is voor een andere mailbox. Klik hier om uit te vinden wat een alias is.	Ne moreš pogledati vsebine tega nabiralnika, ker je to pvevdonim drugega poštnega nabiralnika. Kaj je psevdonim? Klikni tukaj če žeiiš izvedeti.	لا يمكنك مشاهدة محتوى صندوق البريد هذا لأن هذا الاسم المستعار مستخدم لحساب آخر. تريد أن تعرف عن الأسماء المستعارة؟ اضغط هنا	Anda tidak boleh melihat kandungan peti mel ini kerana ianya digunakan untuk peti mel lain. Klik di sini untuk maklumat lanjut.	Anda tidak bisa melihat konten mailbox ini karena merupakan alias dari mailbox lain. Apa itu alias? Klik di sini untuk info selengkapnya	Você não pode visualizar o conteúdo deste e-mail porque ele é um alias para outro e-mail. O que é alias? Clique aqui para descobrir.	
defined_alias	3	Assigned alias for this mailbox:	Ehhez a postafiókhoz beállított alias:	Alias assegnati per questa casella di posta:	Piešķirtais aizstājvārds šai pastkastītei:	Tälle sähköpostille liitetty alias:	Apelido atribuído a esta caixa de correio:	Dieser Mailbox zugewiesener Alias:	Назначенный псевдоним для этого ящика:	Przypisana nazwa dla tej skrzynki:	此信箱已有的別名：	Alias pointant vers cette boîte de réception:	Alias asignado para esta bandeja de entrada:	Přidělený alias k tomuto mailboxu:	Alias asignado para esta cuenta:	Tilldelat alias för denna mailbox:	Zadani alias za ovaj sandučić:	Toegekend alias voor deze mailbox.	Dodeljeni psevdonim za ta poštni nabiralnik	الاسم المستعار المخصص لخذا الصندوق	Tetapkan nama alias untuk peti mel ini :	Alias yang dibuat untuk mailbox ini:	Atribuído alias para este e-mail:	
assign_alias	3	You can assign an alias for this mailbox!	Beállíthatsz alias-t ehhez a postafiókhoz!	Puoi assegnare un alias a questa casella di posta!	Jūs šai pastkastīteivarat piešķirt aizstājvārdu!	Voit liittää aliaksen tälle sähköpostille!	Você pode atribuir um apelido para esta caixa de correio!	Du kannst dieser Mailbox einen Alias zuweisen!	Вы можете назначить псевдоним этому ящика!	Możesz przypisać nazwę do tej  skrzynki	您可以給此信箱設定別名！	Vous pouvez définir d'alias pour cette boîte mail!	¡Puedes asignar un alias para esta bandeja de entrada!	Přidejte si alias k vaší schránce!	¡Podés asignar un alias para esta cuenta!	Du kan tilldela ett alias för denna mailbox!	Možeš zadati alias za ovaj sandučić!	Je kunt een alias toekennen aan deze mailbox!	Lahko dodaš psevdonim za ta poštni nabiralnik	يمكنك تخصيص اسم مستعار لهذا الصندوق	Anda boleh menetapkan nama alias untuk peti mel ini!	Anda bisa membuat alias untuk mailbox ini!	Você pode atribuir um alias para este e-mail!	
