Key	Category	en	hu	it	lv	fi	pt	de	ru	pl	zh	fr	es	cs	es-ar	sv	hr	nl	sl	ar	ms	id	pt-br	tr	hi	el	Your language here
description	1	Disposable email service that clicks on activation links	Ingyenes anonim eldobható email szolgáltatás.	servizio di posta elettronica libero, anonimo, temporaneo e usa-e-getta	bezmaksas, anonīmi,epizodiskai lietošanai paredzēti e-pasta pakalpojumi	Ilmainen kertakäyttöinen sähköpostiosoite	Gratuito, anónimo e temporário / serviço de e-mail descartável	Kostenloser und anonymer temporärer wegwerf-Email-Dienst.	Одноразовая бесплатная анонимная служба электронной почты	Darmowa, anonimowa, jednorazowa usługa pocztowa			Servicio de correo electrónico desechable para enlaces de activación	Jednorázová služba ke kliknutí na aktivační odkazy	Servicio de correo electrónico desechable que clickea en enlaces de activación		Jednokratna email usluga koja automatski klika na aktivacijske linkove				Perkhidmatan e-mel pakai buang yang mengklik link pengaktifan	Layanan email sekali pakai dengan link aktivasi otomatis	Serviço de e-mail temporário que clica em links de ativação			Yπηρεσία ηλεκτρονικού ταχυδρομείου μιας χρήσης που αυτόματα ενεργοποιεί συνδέσμους ενεργοποίησης	
features	2	FEATURES	RÉSZLETES JELLEMZŐK	CARATTERISTICHE	APRAKSTS	OMINAISUUDET	CARACTERÍSTICAS	MERKMALE	ВОЗМОЖНОСТИ	CECHY	特色	FONCTIONS		FUNKCE	CARACTERÍSTICAS		ZNAČAJKE				CIRI-CIRI	FITUR	RECURSOS			ΧΑΡΑΚΤΗΡΙΣΤΙΚΑ	
blog	2	BLOG	BLOG	BLOG	BLOGS	BLOGI	BLOG	BLOG	БЛОГ	BLOG	部落格	BLOG		BLOG	BLOG		BLOG				BLOG	BLOG	BLOG			ΙΣΤΟΛΟΓΙΟ	
translation	2	TRANSLATION	FORDÍTÁS	TRADUZIONE	TULKOŠANA	KÄÄNNÖKSET	TRADUÇÃO	ÜBERSETZUNG	ПЕРЕВОД	TŁUMACZENIE	翻譯	TRADUCTION		PŘEKLAD	TRADUCCIÓN		PRIJEVOD				TERJEMAHAN 	TERJEMAHAN	TRADUÇÃO			ΜΕΤΑΦΡΑΣΗ	
thanksto	2	THANKS TO	KÖSZÖNET	GRAZIE A	IZSAKĀM PATEICĪBU	KIITOKSET	AGRADECIMENTOS A	DANK AN	БЛАГОДАРИМ	PODZIĘKOWANIA	感謝名單	MERCI A		PODĚKOVÁNÍ	GRACIAS A		ZAHVALE				TERIMA KASIH PADA	UCAPAN TERIMA KASIH	AGRADECIMENTOS			ΧΑΡΗ ΣΕ	
contact	2	CONTACT	KAPCSOLAT	CONTATTI	KONTAKTI	YHTEYDENOTTO	CONTACTO	KONTAKT	КОНТАКТ	KONTAKT	聯絡資訊	CONTACT		KONTAKT	CONTACTO		KONTAKT				HUBUNGI	KONTAK	CONTATO			ΕΠΙΚΟΙΝΩΝΙΑ	
faq	2	FAQ	FAQ	FAQ	BUJ	UKK	PERGUNTAS FREQUENTES	FAQ	ЧАВО	FAQ	常問問題	FAQ		FAQ	AYUDA		ČESTA PITANJA				SOAL JAWAB	TANYA JAWAB	FAQ			ΣΥΧΝΕΣ ΕΡΩΤΗΣΕΙΣ	
																											
links	3	Automatically clicks registration links	Automatikus kattintás a regisztrációs linkekre	Clicca automaticamente i link di registrazione	Automātiski tiek galā ar reģistrācijas saitēm	Automaattisesti napsauttaa rekisteröintiä linkkejä	Clica automaticamente ligações de registro	Wir klicken für Dich!	Автоматически кликает по ссылкам регистрации!	Clica automaticamente ligações de registro	自動點擊註冊鏈接	Clique automatiquement les liens d'inscription	Automáticamente hace clic en enlaces de registro	Automaticky kliknout na registrační odkazy	Automáticamente clickea en enlaces de registro		Automatski klika registracijske linkove				Klik link pendaftaran secara automatik	Klik link registrasi secara otomatis	Clica em links de registro automaticamente			Κάνει αυτόματα κλικ στους συνδέσμους εγγραφής	
html	3	HTML support	HTML támogatás	Supporto HTML	HTML atbalsts!	HTML-tukea	suporte HTML	Unterstützung für HTML Mails!	Поддержка HTML!	wsparcie HTML	支援 HTML	prise en charge HTML	HTML apoyo	podpora HTML	Soporte HTML		HTML podrška				Sokongan HTML	Dukungan HTML	Suporta HTML			Υποστήριξη HTML	
